interview__key,encuesta,idencuesta
70-33-99-14,17750303051.0,17750303051.0
36-16-91-49,18810408011.0,18810408011.0
16-25-62-04,17810101041.0,17810101041.0
66-24-30-75,17820704111.0,17820704111.0
50-05-34-15,17720705011.0,17720705011.0
44-69-55-42,18740507071.0,18740507071.0
12-21-60-11,18740202031.0,18740202031.0
12-15-97-10,18870104091.0,18870104091.0
28-48-68-23,17780211021.0,17780211021.0
15-43-43-64,17540202102.0,17540202102.0
33-44-56-29,18720506081.0,18720506081.0
39-22-18-79,18870208101.0,18870208101.0
93-60-50-11,17740507031.0,17740507031.0
15-30-86-94,17540202042.0,17540202042.0
